PM Vidyalaxmi Institutes (All),,,,
305,C-40354,Acharya & B M Reddy College of Pharmacy,Karnataka,Private
306,C-17415,"All India Institute of Speech and Hearing, Manasagangothri,Mysore",Karnataka,Central Government
307,U-0213,Alliance University,Karnataka,Private
308,U-0215,Bangalore University,Karnataka,State Government
309,C-40193,Bapuji Dental College & Hospital,Karnataka,Private
310,C-57952,BMS College of Architecture,Karnataka,Private
311,C-47256,"BMS School of Architecture, Yelahanka",Karnataka,Private
312,U-0216,"Central University of Karnataka, Gulbarga",Karnataka,Central Government
313,U-0217,Christ University,Karnataka,Private
314,U-0218,Davangere University,Karnataka,State Government
315,C-56942,EMPLOYEES STATE INSURANCE CORPORATION COLLEGE OF NURSING  GULBARGA,Karnataka,Central Government
316,C-53596,"ESIC College of Nursing, Bangalore",Karnataka,Central Government
317,C-59392,"ESIC DENTAL COLLEGE, GULBARGA",Karnataka,Central Government
318,C-47410,"ESIC MEDICAL COLLEGE ?È?·AND POST GRADUATE INSTITUTE OF MEDICAL SCINECES AND RESEARCH, Bangalore",Karnataka,Central Government
319,C-40178,"Government Dental College, Bangalore",Karnataka,State Government
320,U-1089,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY RAICHUR,Karnataka,Central Government
321,U-0803,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, DHARWAD",Karnataka,Central Government
322,U-1014,Indian Institute of Management Bangalore,Karnataka,Central Government
323,U-0220,"Indian Institute of Science, Bengaluru",Karnataka,Central Government
324,U-0899,"Indian Institute of Technology, Dharwad",Karnataka,Central Government
325,C-47329,"INSTITUTE OF AEROSPACE MEDICINE, BANGALORE",Karnataka,Central Government
326,U-0221,International Institute of Information Technology Bangalore,Karnataka,Private
327,U-0223,"Jain University, Bangalore",Karnataka,Private
328,U-0224,Jawaharlal Nehru Centre for Advanced Scientific Research,Karnataka,Central Government
329,U-0222,JSS Academy of Higher Education and Research,Karnataka,Private
330,C-35007,JSS College of Pharmacy,Karnataka,Private
331,C-35008,JSS Dental College and Hospital,Karnataka,Private
332,C-35009,"JSS Medical College, Mysore",Karnataka,Private
333,U-0230,Karnataka University,Karnataka,State Government
334,C-7251,"Kasturba Medical College, Mangalore",Karnataka,Private
335,C-7242,"Kasturba Medical College, Manipal",Karnataka,Private
336,C-24505,"KLE College of Pharmacy, Belgaum",Karnataka,Private
337,C-24504,KLE Vishwanath Katti Institute of Dental Sciences,Karnataka,Private
338,C-20653,Kristu Jayanti College,Karnataka,Private
339,C-40235,Krupanidhi College of Pharmacy,Karnataka,Private
340,U-0232,Kuvempu University,Karnataka,State Government
341,C-20729,"M S Ramaiah College of Arts, Science, and Commerce",Karnataka,Private
342,C-1331,M. S. Ramaiah Institute of Technology,Karnataka,Private
343,C-40345,M. S. Ramaiah Medical College,Karnataka,Private
344,U-0724,M.S. Ramaiah University of Applied Sciences,Karnataka,Private
345,U-0233,Mangalore University,Karnataka,State Government
346,U-0234,"Manipal Academy of Higher Education, Manipal",Karnataka,Private
347,C-7240,"Manipal College of Dental Sciences, Mangalore",Karnataka,Private
348,C-7254,"Manipal College of Dental Sciences, Manipal",Karnataka,Private
349,C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",Karnataka,Private
350,C-7252,Manipal Institute of Technology,Karnataka,Private
351,C-46330,"Manipal School of Architecture and Planning, MAHE",Karnataka,Private
352,U-0235,Mysore University,Karnataka,State Government
353,C-19322,N.G.S.M. Institute of Pharmaceutical Sciences,Karnataka,Private
354,U-0236,"National Institute of Mental Health and Neuro Sciences, Bangalore",Karnataka,Central Government
355,U-0237,"National Institute of Technology Karnataka, Surathkal",Karnataka,Central Government
356,U-0238,National Law School of India University,Karnataka,State Government
357,U-0239,NITTE,Karnataka,Private
358,C-1269,R.V. College of Engineering,Karnataka,Private
359,C-63267,SDM College of Dental Sciences & Hospital,Karnataka,Private
360,C-1297,Siddaganga Institute of Technology,Karnataka,Private
361,C-40080,Sri Adichunchanagiri College of Pharmacy,Karnataka,Private
362,U-1337,St. Aloysius,Karnataka,Private
363,C-40453,St. John's Medical College,Karnataka,Private
364,C-21115,St. Joseph`s College of Commerce,Karnataka,Private
365,C-73986,"T. A. Pai Management Institute, Manipal",Karnataka,Private
366,U-0244,"Tumkur University, Tumkur",Karnataka,State Government
367,U-0246,University of Agricultural Sciences,Karnataka,State Government
368,U-0248,University of Agricultural Sciences,Karnataka,State Government
369,U-0249,Visvesvaraya Technological University,Karnataka,State Government
370,C-8528,Yenepoya Dental College,Karnataka,Private
371,U-0250,Yenepoya University,Karnataka,Private
372,C-22861,"Aligarh Muslim University, Malappuram Centre.",Kerala,Central Government
373,C-43711,Bishop Moore College,Kerala,Private
374,U-0251,Calicut University,Kerala,State Government
375,C-9479,"Central Institute of Fisheries, Nautical & Engineering Training (CIFNET)",Kerala,Central Government
376,C-52030,"Central Institute of Petrochemicals Engineering & Technology, Kochi (CIPET)",Kerala,Central Government
377,U-0252,"Central Univeristy of Kerala, Kasaragod",Kerala,Central Government
378,C-11771,CMS College Kottayam,Kerala,Private
379,U-0253,Cochin University of Science and Technology,Kerala,State Government
380,C-43708,"College of Engineering, Trivandrum",Kerala,State Government
381,C-43789,Government Brennen College,Kerala,State Government
382,C-43646,"Government College, Attingal",Kerala,State Government
383,C-48122,Government Dental College,Kerala,State Government
384,C-48124,"Government Medical College, Thiruvananthapuram",Kerala,State Government
385,C-8209,Government Victoria College,Kerala,State Government
386,C-8184,"Govt. Arts & Science College, Meenchanda",Kerala,State Government
387,C-43705,"Govt. College for Women, Thiruvananthapuram",Kerala,State Government
388,C-11754,"Govt. College, Nattakom, Kottayam-686013",Kerala,State Government
389,C-43763,"Govt.College, Nedumangad",Kerala,State Government
390,U-0802,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM",Kerala,Central Government
391,U-1013,Indian Institute of Management Kozhikode,Kerala,Central Government
392,U-0254,"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram",Kerala,Central Government
393,U-0255,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Kerala,Central Government
394,U-0878,"Indian Institute of Technology, Palakkad",Kerala,Central Government
395,U-0256,Kannur University,Kerala,State Government
396,U-0257,Kerala Agricultural University,Kerala,State Government
397,U-0260,Kerala University,Kerala,State Government
398,U-0259,Kerala University of Fisheries and Ocean Studies,Kerala,State Government
399,C-11697,"Maharaja s College, Ernakulam",Kerala,State Government
400,U-0262,Mahatma Gandhi University,Kerala,State Government
401,C-11815,Mar Athanasius College,Kerala,Private
402,C-43767,Mar Ivanios College,Kerala,Private
403,C-60553,NATIONAL HOMOEOPATHY RESEARCH INSTITUTE IN MENTAL HEALTH,Kerala,Central Government
404,U-0263,National Institute of Technology Calicut,Kerala,Central Government
405,S-21127,"NATIONAL POWER TRAINING INSTITUTE, ALAPPUZHA",Kerala,Central Government
406,U-0264,National University of Advanced Legal Studies (NUALS),Kerala,State Government
407,S-164,Rajagiri Business School,Kerala,Private
408,C-11691,Rajagiri College of Social Sciences,Kerala,Private
409,C-11831,"S.B. College, Changanassery",Kerala,Private
410,C-11708,Sacred Heart College,Kerala,Private
411,U-0266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Kerala,Central Government
412,C-8275,"Sree Neelakanda Govt. Sanskrit College, Pattambi",Kerala,State Government
413,C-8106,St. Joseph's College,Kerala,Private
414,C-8010,"St. Josephís College, Devagiri",Kerala,Private
415,C-11582,"St. Teresa s College, Ernakulam",Kerala,Private
416,C-8169,"St. Thomas College, Thrissur",Kerala,Private
417,C-43671,"University College, Thiruvananthapuram",Kerala,State Government
418,C-8008,"Vimala College, Thrissur",Kerala,Private
419,U-1025,CENTRAL INSTITUTE OF BUDDHIST STUDIES,Ladakh,Central Government
420,U-0687,All India Institute of Medical Sciences Bhopal,Madhya Pradesh,Central Government
421,U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,Madhya Pradesh,Central Government
422,U-0270,Devi Ahilya Vishwavidyalaya,Madhya Pradesh,State Government
423,U-0271,"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar",Madhya Pradesh,Central Government
424,C-58650,Footwear Design and Development Institute - Guna,Madhya Pradesh,Central Government
425,C-64662,HQ ONE SIGNAL TRAINING CENTRE,Madhya Pradesh,Central Government
426,U-1334,"INDIAN INSTITUTE OF FOREST MANAGEMENT, BHOPAL",Madhya Pradesh,Central Government
427,U-1193,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY,Madhya Pradesh,Central Government
428,U-1012,Indian Institute of Management Indore,Madhya Pradesh,Central Government
429,U-0272,Indian Institute of Science Education and Research Bhopal,Madhya Pradesh,Central Government
430,U-0273,Indian Institute of Technology Indore,Madhya Pradesh,Central Government
431,U-0290,"Indira Gandhi National Tribal University, Amarkantak",Madhya Pradesh,Central Government
432,U-0277,"Lakshmibai National Institute of Physical Education, Gwalior",Madhya Pradesh,Central Government
433,U-0284,"Maulana Azad National Institute of Technology, Bhopal",Madhya Pradesh,Central Government
434,C-29758,"Military College of Telecommunication Engineering (MCTE), Mhow",Madhya Pradesh,Central Government
435,U-1094,NATIONAL INSTITUTE OF DESIGN (NID) MADHYA PRADESH,Madhya Pradesh,Central Government
436,U-1333,"NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING & RESEARCH, BHOPAL",Madhya Pradesh,Central Government
437,U-0285,"National Law Institute University, Bhopal",Madhya Pradesh,State Government
438,U-0286,"Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur",Madhya Pradesh,Central Government
439,C-39256,"Raja Ramanna Centre for Advanced Technology (RRCAT),Indore",Madhya Pradesh,Central Government
440,U-0626,School of Planning and Architecture Bhopal,Madhya Pradesh,Central Government
441,C-41628,AISSMS College of Pharmacy,Maharashtra,Private
442,C-13967,"Ali Yavar Jung National Institute of the Hearing  Handicapped, Mumbai",Maharashtra,Central Government
443,U-1051,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NAGPUR,Maharashtra,Central Government
444,C-13849,"All India Institute of Physical Medicine & Rehabilitation, Haji Ali Park, K. Khadye Marg, Mahalaxmi, Mumbai 422 004",Maharashtra,Central Government
445,C-13844,Armed Force Medical College,Maharashtra,Central Government
446,C-39260,"Bhabha Atomic Research Centre (BARC), Mumbai",Maharashtra,Central Government
447,C-35422,"Bharati Vidyapeeth (Deemed to be University) Dental College and Hospital, Pune",Maharashtra,Private
448,C-11091,Bharati Vidyapeeth College of Pharmacy,Maharashtra,Private
449,C-33873,Bombay College of Pharmacy,Maharashtra,Private
450,C-44200,C.U.Shah College of Pharmacy,Maharashtra,State Government
451,U-0293,"Central Institute of Fisheries Education, Fishries University",Maharashtra,Central Government
452,U-1257,COEP Technological University,Maharashtra,State Government
453,C-8316,College of Military Engineering,Maharashtra,Central Government
454,C-13845,"College of Nursing, INHS Asvinis College of Nursing (B.Sc.) INHS Asvini, Colaba, Mumbai",Maharashtra,Central Government
455,U-0295,Datta Meghe Institute of Higher Education and Research,Maharashtra,Private
456,U-0297,Defence Institute of Advanced Technology,Maharashtra,Central Government
457,C-18279,"Dhananjayrao Gadgil Sahakari Prabandh Sansthan, New nandanvan",Maharashtra,Central Government
458,C-41223,Dr D Y Patil Institute of Pharmaceutical Sciences and Research,Maharashtra,Private
459,U-0298,Dr. Babasaheb Ambedkar Marathwada University,Maharashtra,State Government
460,U-0301,Dr. D. Y. Patil Vidyapeeth,Maharashtra,Private
461,U-0938,Dr. Vishwanath Karad MIT World Peace University,Maharashtra,Private
462,C-41431,Fergusson College (Autonomous),Maharashtra,Private
463,C-18938,"Government Institute of Science, Nagpur",Maharashtra,State Government
464,C-13829,"Govt. Dental College, Mumbai",Maharashtra,State Government
465,C-14033,"Govt. Dental College, Nagpur",Maharashtra,State Government
466,C-40057,Homi Bhabha Centre for Science Education,Maharashtra,Central Government
467,U-0304,Homi Bhabha National Institute,Maharashtra,Central Government
468,U-0841,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR",Maharashtra,Central Government
469,U-0804,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE",Maharashtra,Central Government
470,U-1283,Indian Institute of Management Mumbai,Maharashtra,Central Government
471,U-1018,Indian Institute of Management Nagpur,Maharashtra,Central Government
472,U-0305,Indian Institute of Science Education and Research Pune,Maharashtra,Central Government
473,U-0306,Indian Institute of Technology Bombay,Maharashtra,Central Government
474,C-61033,"INDIAN MARITIME UNIVERSITY, MUMBAI PORT ",Maharashtra,Central Government
475,C-60302,Indian Naval Ship Hamla,Maharashtra,Central Government
476,S-15087,Institute for Design of Electrical Measuring Instruments,Maharashtra,Central Government
477,C-34195,Institute for research in reproduction (indian council of medical research),Maharashtra,Central Government
478,U-0308,Institute of Chemical Technology,Maharashtra,State Government
479,C-60004,"INSTITUTE OF ENGINEERING AND TECHNOLOGY, NDA",Maharashtra,Central Government
480,U-0309,"International Institute for Population Sciences, Mumbai",Maharashtra,Central Government
481,S-220,K J Somaiya Institute of Management Studies and Research,Maharashtra,Private
482,U-0311,Krishna Vishwa Vidyapeeth,Maharashtra,Private
483,U-0886,Maharashtra National Law University Mumbai,Maharashtra,State Government
484,U-0880,"Maharashtra National Law University, Nagpur",Maharashtra,State Government
485,U-0314,"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Maharashtra,Central Government
486,U-0891,"MIT Art, Design and Technology University, Pune",Maharashtra,Private
487,U-0318,Mumbai University,Maharashtra,State Government
488,C-13751,Nair Hospital Dental College,Maharashtra,Private
489,C-18673,"National Fire Service College, Civil Lines",Maharashtra,Central Government
490,C-33642,"National Institute for the Mentally Handicapped Fkat Bi, B-102 Vasundhara CHS Plot No 13-14  Sector 8 Kharghar Navi Mumbai 410 210",Maharashtra,Central Government
491,S-14565,National Institute of Bank Management,Maharashtra,Private
492,C-47477,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, MUMBAI",Maharashtra,Central Government
493,U-0320,North Maharashtra University,Maharashtra,State Government
494,C-35430,"Poona College of Pharmacy, Pune",Maharashtra,Private
495,S-19472,Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),Maharashtra,Private
496,C-33635,Principal K.M. Kundnani College of Pharmacy,Maharashtra,State Government
497,C-42167,PROGRESSIVE EDUCATION SOCIETYS MODERN COLLEGE OF PHARMACY,Maharashtra,Private
498,C-8993,R. C. Patel Institute of Pharmaceutical Education and Research,Maharashtra,Private
499,U-0332,Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,State Government
500,C-33504,S. P. Jain Institute of Management and Research,Maharashtra,Private
501,U-0323,Savitribai Phule Pune University,Maharashtra,State Government
502,U-0325,Shivaji University,Maharashtra,State Government
503,C-43229,Shri Shivaji Science College,Maharashtra,Private
504,C-18900,Smt. Kishoritai Bhoyar College of Pharmacy,Maharashtra,Private
505,C-33555,St. Xavier`s College,Maharashtra,Private
506,U-0319,SVKM`s Narsee Monjee Institute of Management Studies,Maharashtra,Private
507,C-33877,SVKMís Dr. Bhanuben Nanavati College of Pharmacy,Maharashtra,Private
508,C-19343,Symbiosis Institute of Business Management,Maharashtra,Private
509,U-0329,Symbiosis International,Maharashtra,Private
510,C-19328,Symbiosis Law School,Maharashtra,Private
511,U-0979,Symbiosis Skills and Professional University (Formerly Symbiosis Skill and Open University),Maharashtra,Private
512,U-0330,Tata Institute of Fundamental Research,Maharashtra,Central Government
513,U-0331,Tata Institute of Social Sciences,Maharashtra,Private
514,C-39257,"Tata Memorial Centre (TMC),Mumbai",Maharashtra,Central Government
515,C-33641,"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",Maharashtra,State Government
516,U-0334,Visvesvaraya National Institute of Technology Nagpur,Maharashtra,Central Government
517,C-34531,Y. B. Chavan College of Pharmacy,Maharashtra,Private
518,U-0336,Central Agricultural University,Manipur,Central Government
519,C-48586,"COLLEGE OF NURSING, RIMS",Manipur,Central Government
520,C-48585,"DENTAL COLLEGE, RIMS",Manipur,Central Government
521,U-0770,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SENAPATI",Manipur,Central Government
522,U-0337,"Manipur University, Imphal",Manipur,Central Government
523,U-0613,National Institute of Technology Manipur,Manipur,Central Government
524,U-1026,NATIONAL SPORTS UNIVERSITY,Manipur,Central Government
525,C-9435,Regional Institute of Medical Sciences,Manipur,Central Government
526,C-26832,"College of Post Graduate Studies, Umiam",Meghalaya,Central Government
527,U-1011,Indian Institute of Management Shillong,Meghalaya,Central Government
528,S-17784,INSTITUTE OF HOTEL MANAGEMENT,Meghalaya,Central Government
529,C-47481,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, SHILLONG",Meghalaya,Central Government
530,U-0619,National Institute of Technology Meghalaya,Meghalaya,Central Government
531,C-65041,NORTH EAST REGIONAL INSTITUTE OF EDUCATION,Meghalaya,Central Government
532,U-0341,"North Eastern Hill University, Shillong",Meghalaya,Central Government
533,S-16707,North Eastern Institute of Ayurveda and Homoeopathy,Meghalaya,Central Government
534,U-0345,"Mizoram University, Aizwal",Mizoram,Central Government
535,U-0617,National Institute of Technology Mizoram,Mizoram,Central Government
536,C-8308,Pachhunga University College,Mizoram,Central Government
537,C-8298,Regional Institute of Paramedical and Nursing Sciences,Mizoram,Central Government
538,U-0347,Nagaland University,Nagaland,Central Government
539,U-0618,National Institute of Technology Nagaland,Nagaland,Central Government
540,U-0688,All India Institute of Medical Sciences Bhubaneswar,Odisha,Central Government
541,C-39370,"Army A.D. College, Gopalpur",Odisha,Central Government
542,U-0350,Berhampur University,Odisha,State Government
543,U-1080,C.V. Raman Global University,Odisha,Private
544,U-0352,"Central University of Orissa, Koraput",Odisha,Central Government
545,S-21028,ESTUARINE BIOLOGY REGIONAL CENTRE ZOOLOGICAL SURVEY OF INDIA,Odisha,Central Government
546,U-0354,Fakir Mohan University,Odisha,State Government
547,U-1002,Indian Institute of Management Sambalpur,Odisha,Central Government
548,U-0828,"Indian Institute of Science Education & Research (IISER), Berhampur",Odisha,Central Government
549,U-0355,"Indian Institute of Technology, Bhubaneshwar",Odisha,Central Government
550,C-39258,"Institute of Physics (IOP),Bhubaneswar",Odisha,Central Government
551,U-1032,International Institute of Information Technology Bhubaneswar,Odisha,State Government
552,S-16690,"International Management Institute, Bhubaneswar",Odisha,Private
553,U-0356,Kalinga Institute of Industrial Technology,Odisha,Private
554,C-47469,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, BHUBANESWAR",Odisha,Central Government
555,C-45304,NATIONAL INSTITUTE OF SCIENCE EDUCATION AND RESEARCH,Odisha,Central Government
556,U-0357,National Institute of Technology Rourkela,Odisha,Central Government
557,U-0358,"National Law University, Cuttack",Odisha,State Government
558,U-0360,Odisha University of Agriculture and Technology,Odisha,State Government
559,U-0361,Ravenshaw University,Odisha,State Government
560,U-0362,"Sambalpur University, Sambalpur",Odisha,State Government
561,U-0363,Siksha `O` Anusandhan,Odisha,Private
562,U-0366,Utkal University,Odisha,State Government
563,U-0367,Veer Surendra Sai University of Technology,Odisha,State Government
564,U-0715,XIM University,Odisha,Private
565,C-47762,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College,Pondicherry,Private
566,C-6523,Indira Gandhi College of Arts   and Science,Puducherry,State Government
567,U-0368,Jawaharlal Institute of Post Graduate Medical Education and Research,Puducherry,Central Government
568,C-6502,Kanchi Mamunivar Govt. Institute for Postgraduate Studies and Research,Puducherry,State Government
569,C-6566,Mahatma Gandhi Government Arts College,Puducherry,State Government
570,C-47762,Mahatma Gandhi Medical College and Research Institute,Puducherry,Private
571,C-6548,Mahatma Gandhi P.G. Institute of Dental Sciences,Puducherry,State Government
572,U-0621,National Institute of Technology Puducherry,Puducherry,Central Government
573,U-0369,"Pondicherry Univeristy, Puducherry",Puducherry,Central Government
574,C-6559,Vector Control Research Centre (I.C.M.R.),Puducherry,Central Government
575,U-1114,ALL INDIA INSTITUTE OF MEDICAL SCIENCE,Punjab,Central Government
576,C-10250,Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College,Punjab,Private
577,C-22215,Army Institute of Law,Punjab,Private
578,S-14536,"CENTRAL INSTITUTE OF PLASTICS ENGINEERING & TECHNOLOGY (CIPET), AMRITSAR",Punjab,Central Government
579,S-2421,"CENTRAL TOOL ROOM, LUDHIANA",Punjab,Central Government
580,U-0372,"Central University of Punjab, Bathhinda",Punjab,Central Government
581,C-27840,"Centre for Development of Advanced Computing (C-DAC), Mohali",Punjab,Central Government
582,C-10283,Chandigarh College of Pharmacy,Punjab,Private
583,U-0747,Chandigarh University,Punjab,Private
584,U-0373,Chitkara University,Punjab,Private
585,C-29150,Christian Dental College,Punjab,Private
586,C-29209,Christian Medical College,Punjab,Private
587,C-29255,Dayanand Medical College,Punjab,Private
588,U-0374,"Dr. B. R. Ambedkar National Institute of Technology, Jalandhar",Punjab,Central Government
589,C-22139,"Government Bikram College of Commerce, Patiala",Punjab,State Government
590,U-0375,Guru Angad Dev Veterinary and Animal Sciences University,Punjab,State Government
591,C-69465,HOMI BHABHA CANCER HOSPITAL,Punjab,Central Government
592,C-10398,I. S. F. College of Pharmacy,Punjab,Private
593,U-1001,Indian Institute of Management Amritsar,Punjab,Central Government
594,U-0377,Indian Institute of Science Education and Research Mohali,Punjab,Central Government
595,U-0378,Indian Institute of Technology Ropar,Punjab,Central Government
596,U-0379,Lovely Professional University,Punjab,Private
597,C-22239,"N.I.S., Patiala",Punjab,Central Government
598,C-70709,"NATIONAL  INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY,NIELIT",Punjab,Central Government
599,U-0380,National Institute of Pharmaceutical Education and Research Mohali,Punjab,Central Government
600,C-29157,"Netaji Subhas Institute of Sports, Moti Bagh, Patiala",Punjab,Central Government
601,U-0381,Punjab Agricultural University,Punjab,State Government
602,U-0383,Punjabi University,Punjab,State Government
603,U-0384,"Sant Longowal Institute of Engg. & Tech., Longowal",Punjab,Central Government
604,U-0385,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Punjab,Private
605,U-0386,The Rajiv Gandhi National University of Law,Punjab,State Government
606,U-0689,All India Institute of Medical Sciences Jodhpur,Rajasthan,Central Government
607,U-0389,Banasthali Vidyapith,Rajasthan,Private
