"id","name","description","logo","category","pricing","features","link","isOpenSource","isPopular","isNew","requiresVerification","logo_url","logo_source"
"1","ChatGPT","Conversational AI for research writing and problem-solving","🤖","All Tools|Computer Science & Engineering|Information Technology","Freemium","Natural language processing|Code generation|Research assistance","https://chat.openai.com","false","true","false","false","https://cdn.brandfetch.io/chat.openai.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"2","GitHub Copilot","AI-powered code completion and pair programming assistant","💻","Computer Science & Engineering|Information Technology","Student Discount","Code completion|Multi-language support|Context-aware suggestions","https://github.com/features/copilot","false","true","false","true","https://cdn.brandfetch.io/github.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"3","Claude","Advanced AI assistant for analysis coding and creative tasks","🧠","All Tools|Computer Science & Engineering|Data Science & Analytics","Freemium","Long context understanding|Code generation|Document analysis","https://claude.ai","false","true","false","false","https://cdn.brandfetch.io/claude.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"4","Midjourney","AI-powered image generation from text descriptions","🎨","Design & Architecture|Arts & Humanities|Media & Communication","Paid","Image generation|Art creation|Design concepts","https://midjourney.com","false","true","false","false","https://cdn.brandfetch.io/midjourney.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"5","Grammarly","AI writing assistant for grammar spelling and style","✍️","All Tools|Arts & Humanities|Business & Management","Freemium","Grammar checking|Style suggestions|Plagiarism detection","https://grammarly.com","false","true","false","true","https://cdn.brandfetch.io/grammarly.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"6","Notion AI","AI-powered workspace for notes docs and collaboration","📝","All Tools|Business & Management","Freemium","Note-taking|AI writing|Project management","https://notion.so","false","true","false","false","https://cdn.brandfetch.io/notion.so?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"7","Wolfram Alpha","Computational knowledge engine for math and science","🔢","Mathematics & Statistics|Computer Science & Engineering","Freemium","Math solutions|Data analysis|Scientific computing","https://wolframalpha.com","false","true","false","true","https://cdn.brandfetch.io/wolframalpha.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"8","Canva AI","Design platform with AI-powered creative tools","🎨","Design & Architecture|Media & Communication|Business & Management","Freemium","Graphic design|AI image generation|Template creation","https://canva.com","false","true","false","true","https://cdn.brandfetch.io/canva.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"9","Perplexity AI","AI-powered search engine with citations","🔍","All Tools|Computer Science & Engineering","Freemium","AI search|Research assistance|Source citations","https://perplexity.ai","false","true","true","false","https://cdn.brandfetch.io/perplexity.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"10","Jupyter AI","AI assistant integrated into Jupyter notebooks","🪐","Data Science & Analytics|Computer Science & Engineering","Free","Code completion|Data analysis|Documentation","https://jupyter-ai.readthedocs.io","true","false","true","false","https://cdn.brandfetch.io/jupyter-ai.readthedocs.io?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"11","Tabnine","AI code completion for multiple IDEs","⚡","Computer Science & Engineering|Information Technology","Freemium","Code completion|Multi-language|Privacy-focused","https://tabnine.com","false","true","false","false","https://cdn.brandfetch.io/tabnine.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"12","DALL-E 3","OpenAI's advanced image generation model","🖼️","Design & Architecture|Arts & Humanities","Freemium","Image generation|Creative AI|Text-to-image","https://openai.com/dall-e-3","false","true","false","false","https://cdn.brandfetch.io/openai.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"13","Otter.ai","AI meeting transcription and note-taking","🎙️","All Tools|Business & Management","Freemium","Audio transcription|Meeting notes|Real-time captions","https://otter.ai","false","true","false","true","https://cdn.brandfetch.io/otter.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"14","Mathway","Step-by-step math problem solver","➗","Mathematics & Statistics","Freemium","Math solutions|Step-by-step|Multiple topics","https://mathway.com","false","true","false","false","https://cdn.brandfetch.io/mathway.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"15","QuillBot","AI paraphrasing and summarization tool","📄","All Tools|Arts & Humanities","Freemium","Paraphrasing|Summarization|Grammar checking","https://quillbot.com","false","true","false","true","https://cdn.brandfetch.io/quillbot.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"16","Synthesia","AI video creation with virtual avatars","🎥","Media & Communication|Business & Management","Paid","Video generation|AI avatars|Text-to-video","https://synthesia.io","false","false","false","true","https://cdn.brandfetch.io/synthesia.io?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"17","Jasper AI","AI content creation for marketing and business","✨","Business & Management|Media & Communication","Paid","Content generation|Marketing copy|Blog writing","https://jasper.ai","false","true","false","true","https://cdn.brandfetch.io/jasper.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"18","Copy.ai","AI-powered copywriting and content tool","📝","Business & Management|Media & Communication","Freemium","Copywriting|Content ideas|Marketing text","https://copy.ai","false","true","false","false","https://cdn.brandfetch.io/copy.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"19","Runway ML","Creative AI suite for video and image editing","🎬","Media & Communication|Design & Architecture","Freemium","Video editing|Image generation|AI effects","https://runwayml.com","false","true","false","false","https://cdn.brandfetch.io/runwayml.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"20","Replika","AI companion for conversation and support","💬","All Tools","Freemium","Conversational AI|Mental wellness|Personal assistant","https://replika.com","false","false","false","false","https://cdn.brandfetch.io/replika.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"21","Gemini","Google's multimodal AI assistant","💎","All Tools|Computer Science & Engineering|Data Science & Analytics","Freemium","Multimodal AI|Code generation|Research","https://gemini.google.com","false","true","true","false","https://cdn.brandfetch.io/gemini.google.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"22","Microsoft Copilot","Integrated productivity AI across Microsoft suite","🪟","All Tools|Business & Management|Information Technology","Freemium","Productivity|Document creation|Data analysis","https://copilot.microsoft.com","false","true","false","true","https://cdn.brandfetch.io/copilot.microsoft.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"23","Replit Ghostwriter","AI coding assistant in browser IDE","👻","Computer Science & Engineering|Information Technology","Freemium","Code completion|Debugging|Explanation","https://replit.com","false","false","false","true","https://cdn.brandfetch.io/replit.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"24","Cursor","AI-first code editor","🖱️","Computer Science & Engineering|Information Technology","Freemium","AI editing|Code generation|Refactoring","https://cursor.sh","false","true","true","false","https://cdn.brandfetch.io/cursor.sh?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"25","Codeium","Free AI code completion","🆓","Computer Science & Engineering|Information Technology","Free","Code completion|Chat|Command execution","https://codeium.com","false","true","false","false","https://cdn.brandfetch.io/codeium.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"26","Amazon CodeWhisperer","AWS-integrated coding assistant","☁️","Computer Science & Engineering|Information Technology","Free","Code completion|Security scanning|AWS integration","https://aws.amazon.com/codewhisperer","false","true","false","false","https://cdn.brandfetch.io/aws.amazon.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"27","Phind","AI search engine for developers","🔍","Computer Science & Engineering|Information Technology","Freemium","Developer search|Code examples|Documentation","https://phind.com","false","true","false","false","https://cdn.brandfetch.io/phind.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"28","Stack Overflow AI","Programming Q&A assistant","📚","Computer Science & Engineering|Information Technology","Free","Q&A search|Code solutions|Community","https://stackoverflow.com","false","true","true","false","https://cdn.brandfetch.io/stackoverflow.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"29","Mintlify","Automated code documentation generator","📖","Computer Science & Engineering|Information Technology","Freemium","Documentation|Code explanation|API docs","https://mintlify.com","false","false","false","false","https://cdn.brandfetch.io/mintlify.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"30","Julius AI","Data analysis and visualization platform","📊","Data Science & Analytics|Business & Management","Freemium","Data analysis|Visualization|AI insights","https://julius.ai","false","true","true","false","https://cdn.brandfetch.io/julius.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"31","DataRobot","Enterprise AutoML platform","🤖","Data Science & Analytics","Paid","AutoML|Model deployment|Predictions","https://datarobot.com","false","false","false","true","https://cdn.brandfetch.io/datarobot.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"32","H2O.ai","Open-source machine learning automation","💧","Data Science & Analytics|Computer Science & Engineering","Free","AutoML|Model training|Deployment","https://h2o.ai","true","true","false","false","https://cdn.brandfetch.io/h2o.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"33","Obviously AI","No-code predictive analytics","📈","Data Science & Analytics|Business & Management","Freemium","No-code ML|Predictions|Business intelligence","https://obviously.ai","false","false","false","false","https://cdn.brandfetch.io/obviously.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"34","MonkeyLearn","Text analysis and NLP platform","🐵","Data Science & Analytics|Computer Science & Engineering","Freemium","Text classification|Sentiment analysis|NLP","https://monkeylearn.com","false","false","false","false","https://cdn.brandfetch.io/monkeylearn.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"35","Tableau GPT","AI-powered data visualization","📊","Data Science & Analytics|Business & Management","Paid","Data visualization|AI insights|Dashboards","https://tableau.com","false","true","false","true","https://cdn.brandfetch.io/tableau.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"36","Adobe Firefly","Adobe's creative AI tools","🔥","Design & Architecture|Media & Communication","Freemium","Image generation|Text effects|Design assets","https://firefly.adobe.com","false","true","false","true","https://cdn.brandfetch.io/firefly.adobe.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"37","Figma AI","AI-powered design assistance","🎨","Design & Architecture|Information Technology","Freemium","Design automation|Prototyping|Collaboration","https://figma.com","false","true","true","false","https://cdn.brandfetch.io/figma.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"38","Uizard","UI/UX design from sketches and text","🎨","Design & Architecture|Information Technology","Freemium","UI generation|Wireframing|Design to code","https://uizard.io","false","false","false","false","https://cdn.brandfetch.io/uizard.io?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"39","Galileo AI","AI UI design generation","🔭","Design & Architecture|Information Technology","Freemium","UI generation|Design systems|Prototyping","https://usegalileo.ai","false","false","true","false","https://cdn.brandfetch.io/usegalileo.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"40","Khroma","AI color palette generator","🎨","Design & Architecture","Free","Color palettes|Design inspiration|Accessibility","https://khroma.co","false","false","false","false","https://cdn.brandfetch.io/khroma.co?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"41","Remove.bg","AI background removal tool","🖼️","Design & Architecture|Media & Communication","Freemium","Background removal|Image editing|Batch processing","https://remove.bg","false","true","false","false","https://cdn.brandfetch.io/remove.bg?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"42","Vizcom","3D rendering for product designers","🎨","Design & Architecture|Mechanical Engineering","Freemium","3D rendering|Product design|Sketching","https://vizcom.ai","false","false","false","false","https://cdn.brandfetch.io/vizcom.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"43","Finch 3D","AI for building design optimization","🏢","Design & Architecture|Civil Engineering","Freemium","Building design|Optimization|3D modeling","https://finch3d.com","false","false","false","false","https://cdn.brandfetch.io/finch3d.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"44","Consensus","AI research search engine","🔬","All Tools|Life Sciences & Biotechnology","Freemium","Research papers|Scientific search|Evidence-based","https://consensus.app","false","true","false","false","https://cdn.brandfetch.io/consensus.app?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"45","Elicit","Research paper analysis assistant","📄","All Tools|Life Sciences & Biotechnology","Freemium","Paper analysis|Literature review|Research automation","https://elicit.org","false","true","false","false","https://cdn.brandfetch.io/elicit.org?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"46","SciSpace","Scientific paper understanding","🔬","All Tools|Life Sciences & Biotechnology","Freemium","Paper explanations|Literature review|Citations","https://scispace.com","false","true","false","true","https://cdn.brandfetch.io/scispace.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"47","Semantic Scholar","AI-powered academic search","📚","All Tools|Life Sciences & Biotechnology","Free","Academic search|Paper recommendations|Citations","https://semanticscholar.org","true","true","false","false","https://cdn.brandfetch.io/semanticscholar.org?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"48","Research Rabbit","Research paper discovery tool","🐰","All Tools|Life Sciences & Biotechnology","Free","Paper discovery|Citation networks|Collections","https://researchrabbit.ai","false","true","false","false","https://cdn.brandfetch.io/researchrabbit.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"49","Jenni AI","Academic writing assistant","✍️","All Tools|Arts & Humanities","Freemium","Academic writing|Citations|Research help","https://jenni.ai","false","true","false","true","https://cdn.brandfetch.io/jenni.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"50","Writefull","Academic writing feedback tool","📝","All Tools|Arts & Humanities","Freemium","Writing feedback|Language polishing|Academic style","https://writefull.com","false","false","false","true","https://cdn.brandfetch.io/writefull.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"51","Wordtune","AI writing enhancement tool","✏️","All Tools|Arts & Humanities|Business & Management","Freemium","Rewriting|Tone adjustment|Summarization","https://wordtune.com","false","true","false","false","https://cdn.brandfetch.io/wordtune.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"52","Hemingway Editor","Readability and clarity improvement","📖","All Tools|Arts & Humanities","Freemium","Readability|Clarity|Style suggestions","https://hemingwayapp.com","false","true","false","false","https://cdn.brandfetch.io/hemingwayapp.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
