"id","name","description","logo","category","pricing","features","link","isOpenSource","isPopular","isNew","requiresVerification","logo_url","logo_source"
"53","ProWritingAid","Comprehensive writing assistant","✍️","All Tools|Arts & Humanities","Freemium","Grammar|Style|Structure analysis","https://prowritingaid.com","false","true","false","true","https://cdn.brandfetch.io/prowritingaid.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"54","Descript","Audio and video transcription editor","🎙️","Media & Communication|Arts & Humanities","Freemium","Transcription|Audio editing|Video editing","https://descript.com","false","true","false","false","https://cdn.brandfetch.io/descript.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"55","Scholarcy","Article summarization tool","📄","All Tools|Arts & Humanities","Freemium","Summarization|Flashcards|Reference extraction","https://scholarcy.com","false","false","false","true","https://cdn.brandfetch.io/scholarcy.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"56","ChatPDF","PDF document Q&A assistant","📄","All Tools","Freemium","PDF chat|Document analysis|Summarization","https://chatpdf.com","false","true","false","false","https://cdn.brandfetch.io/chatpdf.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"57","Humata","Document AI assistant","📁","All Tools|Business & Management","Freemium","Document Q&A|Summarization|Analysis","https://humata.ai","false","false","false","false","https://cdn.brandfetch.io/humata.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"58","Symbolab","Advanced math problem solver","∞","Mathematics & Statistics","Freemium","Math solutions|Step-by-step|Practice problems","https://symbolab.com","false","true","false","false","https://cdn.brandfetch.io/symbolab.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"59","Photomath","Camera-based math solver","📷","Mathematics & Statistics","Freemium","Photo solving|Step-by-step|Learning","https://photomath.com","false","true","false","false","https://cdn.brandfetch.io/photomath.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"60","Microsoft Math Solver","Comprehensive math assistance","➕","Mathematics & Statistics","Free","Math solving|Graphing|Step-by-step","https://math.microsoft.com","false","true","false","false","https://cdn.brandfetch.io/math.microsoft.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"61","Socratic","Google's homework help assistant","🎓","All Tools|Mathematics & Statistics","Free","Homework help|Explanations|Multiple subjects","https://socratic.org","false","true","false","false","https://cdn.brandfetch.io/socratic.org?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"62","Maple Learn","Interactive math learning platform","🍁","Mathematics & Statistics","Freemium","Interactive math|Graphing|Learning","https://maplelearn.com","false","false","false","true","https://cdn.brandfetch.io/maplelearn.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"63","GeoGebra","Mathematical visualization tool","📐","Mathematics & Statistics","Free","Graphing|Geometry|Calculus","https://geogebra.org","true","true","false","false","https://cdn.brandfetch.io/geogebra.org?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"64","Cymath","Math problem solver with steps","🔢","Mathematics & Statistics","Freemium","Math solving|Step-by-step|Practice","https://cymath.com","false","false","false","false","https://cdn.brandfetch.io/cymath.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"65","Fusion 360 AI","CAD with generative design","🔧","Mechanical Engineering|Mechatronics Engineering","Student Discount","CAD|Generative design|Simulation","https://autodesk.com/products/fusion-360","false","true","false","true","https://cdn.brandfetch.io/autodesk.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"66","Onshape AI","Cloud-based CAD platform","☁️","Mechanical Engineering|Mechatronics Engineering","Freemium","Cloud CAD|Collaboration|Version control","https://onshape.com","false","true","false","true","https://cdn.brandfetch.io/onshape.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"67","SimScale","Cloud-based engineering simulation","🌊","Mechanical Engineering|Civil Engineering","Freemium","CFD|FEA|Thermal simulation","https://simscale.com","false","true","false","true","https://cdn.brandfetch.io/simscale.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"68","Ansys AI","Simulation and analysis platform","🔬","Mechanical Engineering|Civil Engineering|Electronics & Communication Engineering","Paid","FEA|CFD|Electromagnetic simulation","https://ansys.com","false","true","false","true","https://cdn.brandfetch.io/ansys.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"69","MATLAB Copilot","AI assistant for MATLAB","📊","Mechanical Engineering|Electrical Engineering|Data Science & Analytics","Paid","Code generation|Debugging|Documentation","https://mathworks.com","false","false","true","true","https://cdn.brandfetch.io/mathworks.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"70","nTop","Generative design for manufacturing","🏭","Mechanical Engineering|Mechatronics Engineering","Paid","Generative design|Lattice structures|Optimization","https://ntop.com","false","false","false","true","https://cdn.brandfetch.io/ntop.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"71","ParaMatters","Additive manufacturing AI","🖨️","Mechanical Engineering|Mechatronics Engineering","Paid","Topology optimization|AM design|Lightweighting","https://paramatters.com","false","false","false","true","https://cdn.brandfetch.io/paramatters.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"72","Altium 365 Copilot","PCB design AI assistant","⚡","Electronics & Communication Engineering|Electrical Engineering","Paid","PCB design|Routing|Component placement","https://altium.com","false","true","false","true","https://cdn.brandfetch.io/altium.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"73","KiCad","Open-source PCB design","🔌","Electronics & Communication Engineering|Electrical Engineering","Free","PCB design|Schematic capture|3D visualization","https://kicad.org","true","true","false","false","https://cdn.brandfetch.io/kicad.org?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"74","LTSpice","Free circuit simulation","⚡","Electronics & Communication Engineering|Electrical Engineering","Free","Circuit simulation|SPICE|Analysis","https://analog.com/ltspice","false","true","false","false","https://cdn.brandfetch.io/analog.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"75","Proteus","Electronics design and simulation","🔬","Electronics & Communication Engineering|Electrical Engineering","Paid","Circuit simulation|PCB design|Microcontroller simulation","https://labcenter.com","false","true","false","true","https://cdn.brandfetch.io/labcenter.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"76","AlphaFold","Protein structure prediction","🧬","Life Sciences & Biotechnology","Free","Protein folding|Structure prediction|Research","https://alphafold.ebi.ac.uk","true","true","false","false","https://cdn.brandfetch.io/alphafold.ebi.ac.uk?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"77","BioGPT","Biomedical text mining AI","🧬","Life Sciences & Biotechnology","Free","Biomedical NLP|Literature mining|Research","https://github.com/microsoft/BioGPT","true","false","false","false","https://cdn.brandfetch.io/github.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"78","Benchling AI","Life sciences R&D platform","🔬","Life Sciences & Biotechnology","Freemium","Lab notebook|Molecular biology|Collaboration","https://benchling.com","false","true","false","true","https://cdn.brandfetch.io/benchling.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"79","HeyGen","AI video avatar creation","🎥","Media & Communication","Freemium","Video avatars|Voice cloning|Video generation","https://heygen.com","false","true","false","false","https://cdn.brandfetch.io/heygen.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"80","Pictory","Video creation from text","📹","Media & Communication|Business & Management","Freemium","Text-to-video|Video editing|Captions","https://pictory.ai","false","false","false","false","https://cdn.brandfetch.io/pictory.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"81","Lumen5","AI video marketing platform","💡","Media & Communication|Business & Management","Freemium","Video creation|Marketing|Social media","https://lumen5.com","false","true","false","false","https://cdn.brandfetch.io/lumen5.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"82","CapCut","Video editing with AI features","✂️","Media & Communication","Free","Video editing|Effects|Auto-captions","https://capcut.com","false","true","false","false","https://cdn.brandfetch.io/capcut.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"83","Murf AI","AI voiceover generator","🎙️","Media & Communication|Business & Management","Freemium","Text-to-speech|Voiceovers|Multiple voices","https://murf.ai","false","true","false","false","https://cdn.brandfetch.io/murf.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"84","ElevenLabs","Advanced voice synthesis","🔊","Media & Communication","Freemium","Voice cloning|Text-to-speech|Dubbing","https://elevenlabs.io","false","true","false","false","https://cdn.brandfetch.io/elevenlabs.io?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"85","Podcastle","AI podcast production","🎙️","Media & Communication","Freemium","Recording|Editing|AI enhancement","https://podcastle.ai","false","false","false","false","https://cdn.brandfetch.io/podcastle.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"86","Beautiful.ai","AI-powered presentations","🎨","Business & Management|All Tools","Freemium","Presentation design|Templates|Collaboration","https://beautiful.ai","false","true","false","false","https://cdn.brandfetch.io/beautiful.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"87","Tome","AI storytelling presentations","📖","Business & Management|All Tools","Freemium","AI presentations|Storytelling|Design","https://tome.app","false","true","false","false","https://cdn.brandfetch.io/tome.app?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"88","Gamma","Document and presentation AI","γ","Business & Management|All Tools","Freemium","Presentations|Documents|AI generation","https://gamma.app","false","true","false","false","https://cdn.brandfetch.io/gamma.app?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"89","Slidesgo AI","AI presentation templates","🎨","Business & Management|All Tools","Freemium","Templates|Design|Customization","https://slidesgo.com","false","true","false","false","https://cdn.brandfetch.io/slidesgo.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"90","Fireflies.ai","AI meeting assistant","🔥","Business & Management|All Tools","Freemium","Meeting transcription|Notes|Action items","https://fireflies.ai","false","true","false","false","https://cdn.brandfetch.io/fireflies.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"91","Krisp","AI noise cancellation","🔇","Business & Management|All Tools","Freemium","Noise cancellation|Call quality|Meetings","https://krisp.ai","false","true","false","false","https://cdn.brandfetch.io/krisp.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"92","Zapier AI","Workflow automation platform","⚡","Business & Management|Information Technology","Freemium","Automation|Integrations|AI workflows","https://zapier.com","false","true","false","false","https://cdn.brandfetch.io/zapier.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"93","Make","Visual process automation","🔧","Business & Management|Information Technology","Freemium","Automation|Integrations|Visual builder","https://make.com","false","true","false","false","https://cdn.brandfetch.io/make.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"94","DeepL","Advanced translation AI","🌐","All Tools|Arts & Humanities","Freemium","Translation|Writing improvement|Tone","https://deepl.com","false","true","false","false","https://cdn.brandfetch.io/deepl.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"95","Duolingo","AI language learning platform","🦉","Arts & Humanities","Freemium","Language learning|Practice|Gamification","https://duolingo.com","false","true","false","false","https://cdn.brandfetch.io/duolingo.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"96","Speak","AI language tutor","🗣️","Arts & Humanities","Freemium","Speaking practice|Pronunciation|Feedback","https://speak.com","false","false","false","false","https://cdn.brandfetch.io/speak.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"97","Elsa Speak","AI pronunciation coach","🎯","Arts & Humanities","Freemium","Pronunciation|Accent reduction|Speaking","https://elsaspeak.com","false","false","false","false","https://cdn.brandfetch.io/elsaspeak.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"98","Motion","AI calendar and task manager","📅","Business & Management|All Tools","Freemium","Smart scheduling|Task management|Calendar","https://usemotion.com","false","true","false","false","https://cdn.brandfetch.io/usemotion.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"99","Reclaim.ai","Smart scheduling assistant","🔄","Business & Management|All Tools","Freemium","Smart scheduling|Calendar management|Habits","https://reclaim.ai","false","true","false","false","https://cdn.brandfetch.io/reclaim.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"100","Mem","AI-powered note-taking","🧠","All Tools|Business & Management","Freemium","Notes|Knowledge management|AI search","https://mem.ai","false","false","false","false","https://cdn.brandfetch.io/mem.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"101","Reflect","Networked note-taking with AI","🪞","All Tools|Business & Management","Freemium","Notes|Backlinking|AI assistant","https://reflect.app","false","false","false","false","https://cdn.brandfetch.io/reflect.app?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"102","Taskade","AI productivity workspace","✅","Business & Management|All Tools","Freemium","Tasks|Projects|Collaboration|AI","https://taskade.com","false","true","false","false","https://cdn.brandfetch.io/taskade.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"103","Scribe","AI process documentation","📝","Business & Management|Information Technology","Freemium","Process documentation|Screenshots|Guides","https://scribehow.com","false","true","false","false","https://cdn.brandfetch.io/scribehow.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"104","Magical","AI text expander and automation","✨","All Tools|Business & Management","Free","Text expansion|Automation|Data entry","https://magical.so","false","true","false","false","https://cdn.brandfetch.io/magical.so?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"105","Timely","AI time tracking","⏰","Business & Management","Freemium","Automatic time tracking|Productivity|Reporting","https://timelyapp.com","false","false","false","false","https://cdn.brandfetch.io/timelyapp.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"106","Superhuman","AI email assistant","📧","Business & Management|All Tools","Paid","Email management|AI writing|Productivity","https://superhuman.com","false","true","false","false","https://cdn.brandfetch.io/superhuman.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"107","SaneBox","AI email organizer","📥","Business & Management|All Tools","Freemium","Email filtering|Unsubscribe|Priority inbox","https://sanebox.com","false","false","false","false","https://cdn.brandfetch.io/sanebox.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"108","Compose AI","AI writing assistant for Chrome","✍️","All Tools|Business & Management","Free","Writing acceleration|Auto-complete|Email","https://compose.ai","false","true","false","false","https://cdn.brandfetch.io/compose.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"109","Moonbeam","AI writing assistant for long-form","🌙","Arts & Humanities|Business & Management","Freemium","Long-form writing|Essays|Blogs","https://moonbeam.ai","false","false","false","false","https://cdn.brandfetch.io/moonbeam.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"110","Rytr","AI writing assistant","✍️","Business & Management|Media & Communication","Freemium","Content writing|Copywriting|Multiple formats","https://rytr.me","false","true","false","false","https://cdn.brandfetch.io/rytr.me?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
